Date,Index
25-07-2013,2.17
26-07-2013,2.15
29-07-2013,2.16
30-07-2013,2.17
31-07-2013,2.22
01-08-2013,2.26
02-08-2013,2.21
05-08-2013,2.25
06-08-2013,2.28
07-08-2013,2.26
08-08-2013,2.24
09-08-2013,2.24
12-08-2013,2.24
13-08-2013,2.23
14-08-2013,2.21
15-08-2013,2.17
16-08-2013,2.16
19-08-2013,2.13
20-08-2013,2.15
21-08-2013,2.14
22-08-2013,2.11
23-08-2013,2.13
26-08-2013,2.15
27-08-2013,2.15
28-08-2013,2.15
29-08-2013,2.1
30-08-2013,2.1
02-09-2013,2.1
03-09-2013,2.1
04-09-2013,2.07
05-09-2013,2.06
06-09-2013,2.07
09-09-2013,2.06
10-09-2013,2.1
11-09-2013,2.13
12-09-2013,2.11
13-09-2013,2.1
16-09-2013,2.12
17-09-2013,2.16
18-09-2013,2.2
19-09-2013,2.21
20-09-2013,2.23
23-09-2013,2.26
24-09-2013,2.19
25-09-2013,2.18
26-09-2013,2.19
27-09-2013,2.18
30-09-2013,2.19
01-10-2013,2.2
02-10-2013,2.2
03-10-2013,2.19
04-10-2013,2.2
07-10-2013,2.2
08-10-2013,2.18
09-10-2013,2.21
10-10-2013,2.21
11-10-2013,2.2
14-10-2013,2.2
15-10-2013,2.21
16-10-2013,2.19
17-10-2013,2.16
18-10-2013,2.18
21-10-2013,2.19
22-10-2013,2.17
23-10-2013,2.15
24-10-2013,2.17
25-10-2013,2.19
28-10-2013,2.19
29-10-2013,2.18
30-10-2013,2.18
31-10-2013,2.17
01-11-2013,2.15
04-11-2013,2.13
05-11-2013,2.14
06-11-2013,2.19
07-11-2013,2.17
08-11-2013,2.18
11-11-2013,2.18
12-11-2013,2.18
13-11-2013,2.17
14-11-2013,2.18
15-11-2013,2.18
18-11-2013,2.19
19-11-2013,2.18
20-11-2013,2.16
21-11-2013,2.19
22-11-2013,2.19
25-11-2013,2.18
26-11-2013,2.17
27-11-2013,2.16
28-11-2013,2.16
29-11-2013,2.15
02-12-2013,2.15
03-12-2013,2.15
04-12-2013,2.11
05-12-2013,2.12
