Date,Open,High,Low,Close,Volume,Adj Close
7/24/2015,20603.63086,20631.53906,20527.7793,20544.5293,107400,20544.5293
7/23/2015,20693.57031,20708.23047,20648.75977,20683.94922,115500,20683.94922
7/22/2015,20657.80078,20677.83984,20576.18945,20593.66992,141000,20593.66992
7/21/2015,20763.31055,20850,20710.33984,20841.9707,130500,20841.9707
7/17/2015,20646.63086,20658.94922,20611.2207,20650.91992,114600,20650.91992
7/16/2015,20588.98047,20612.5,20522.25,20600.11914,132700,20600.11914
7/15/2015,20478.84961,20496.59961,20401.08984,20463.33008,0,20463.33008
7/14/2015,20355.33008,20435.5293,20322.19922,20385.33008,156900,20385.33008
7/13/2015,19929.91992,20120.15039,19911.39063,20089.76953,0,20089.76953
7/10/2015,19829.92969,19978.24023,19720.15039,19779.83008,0,19779.83008
7/9/2015,19422.7793,19855.5,19115.19922,19855.5,0,19855.5
7/8/2015,20282.49023,20310.89063,19737.64063,19737.64063,0,19737.64063
7/7/2015,20354.23047,20428,20337.17969,20376.58984,0,20376.58984
7/6/2015,20200.15039,20310.7207,20012.23047,20112.11914,158800,20112.11914
7/3/2015,20476.68945,20557.50977,20431.25,20539.78906,141400,20539.78906
7/2/2015,20565.93945,20601.73047,20479.84961,20522.5,0,20522.5
7/1/2015,20291.05078,20346.74023,20225.26953,20329.32031,119900,20329.32031
6/30/2015,20174.60938,20243.17969,20118.25977,20235.73047,163100,20235.73047
6/29/2015,20305.9707,20361.59961,20093.16016,20109.94922,0,20109.94922
6/26/2015,20758.42969,20785.75977,20650,20706.15039,135900,20706.15039
6/25/2015,20777.68945,20866.58008,20758.59961,20771.40039,124500,20771.40039
6/24/2015,20889.32031,20952.71094,20838.2207,20868.0293,161700,20868.0293
6/23/2015,20547.74023,20809.41992,20531.13086,20809.41992,177800,20809.41992
6/22/2015,20174.14063,20433.30078,20174.14063,20428.18945,0,20428.18945
6/19/2015,20152.41016,20194.44922,20075.91016,20174.24023,156100,20174.24023
6/18/2015,20193.58984,20200.50977,19990.55078,19990.82031,130500,19990.82031
6/17/2015,20306.09961,20323.08008,20126.57031,20219.26953,0,20219.26953
6/16/2015,20332.83008,20368.21094,20234.16016,20257.93945,129000,20257.93945
6/15/2015,20205.09961,20401.48047,20205.09961,20387.78906,112200,20387.78906
6/12/2015,20431.7793,20437.25977,20331.18945,20407.08008,184200,20407.08008
6/11/2015,20183.60938,20382.9707,20178.03906,20382.9707,150400,20382.9707
6/10/2015,20126.35938,20264.91992,20016.32031,20046.35938,183200,20046.35938
6/9/2015,20293.05078,20332.41992,20095.48047,20096.30078,155900,20096.30078
6/8/2015,20537.84961,20544.93945,20359.06055,20457.18945,135600,20457.18945
6/5/2015,20398.75977,20480.25,20363.17969,20460.90039,160800,20460.90039
6/4/2015,20539.93945,20552.46094,20438.21094,20488.18945,171700,20488.18945
6/3/2015,20443.15039,20506.34961,20397.73047,20473.50977,163600,20473.50977
6/2/2015,20604.66992,20619.60938,20470.25977,20543.18945,194400,20543.18945
6/1/2015,20444.53906,20595.41016,20410.26953,20569.86914,168200,20569.86914
5/29/2015,20510.26953,20636.41016,20508.40039,20563.15039,233900,20563.15039
5/28/2015,20590.2793,20655.33008,20473.26953,20551.46094,241500,20551.46094
5/27/2015,20380.64063,20513.2207,20363.21094,20472.58008,184700,20472.58008
5/26/2015,20431.26953,20473.84961,20378.76953,20437.48047,126900,20437.48047
5/25/2015,20331.91992,20417.76953,20318.53906,20413.76953,139800,20413.76953
5/22/2015,20208.84961,20278.31055,20130.83984,20264.41016,137300,20264.41016
5/21/2015,20215.46094,20320.90039,20175.7793,20202.86914,176300,20202.86914
5/20/2015,20175.58984,20278.89063,20148.50977,20196.56055,171100,20196.56055
5/19/2015,19977.14063,20087.69922,19946.75,20026.38086,178600,20026.38086
5/18/2015,19766.16016,19890.26953,19741.2207,19890.26953,200600,19890.26953
5/15/2015,19693.16992,19750.75977,19633.75,19732.91992,173000,19732.91992
5/14/2015,19661.51953,19717.80078,19546.82031,19570.24023,171700,19570.24023
5/13/2015,19568.75977,19791.88086,19494.69922,19764.7207,187800,19764.7207
5/12/2015,19608.23047,19626.75,19467.65039,19624.83984,197400,19624.83984
5/11/2015,19637.58008,19679.63086,19586.81055,19620.91016,208000,19620.91016
5/8/2015,19315.63086,19458.75,19302.71094,19379.18945,176200,19379.18945
5/7/2015,19356.46094,19461.08008,19257.84961,19291.99023,165700,19291.99023
5/6/2015,19510.84961,19549.39063,19399.16016,19531.63086,0,19531.63086
5/5/2015,19510.84961,19549.39063,19399.16016,19531.63086,0,19531.63086
5/1/2015,19510.84961,19549.39063,19399.16016,19531.63086,149500,19531.63086
4/30/2015,19847.5,19852.66016,19502.60938,19520.00977,189100,19520.00977
4/28/2015,20068.65039,20133.7793,20031.71094,20058.94922,134500,20058.94922
4/27/2015,20063.80078,20069.24023,19909.85938,19983.32031,119800,19983.32031
4/24/2015,20142.4707,20142.4707,20013.74023,20020.03906,135500,20020.03906
4/23/2015,20227.2793,20252.11914,20116.18945,20187.65039,200900,20187.65039
4/22/2015,19999.83984,20144.66016,19983,20133.90039,204400,20133.90039
4/21/2015,19731.57031,19909.08984,19678.2207,19909.08984,156800,19909.08984
4/20/2015,19501,19725.85938,19474.23047,19634.49023,139800,19634.49023
4/17/2015,19810.40039,19815.25,19638.36914,19652.88086,182600,19652.88086
4/16/2015,19862.48047,19894.34961,19742.11914,19885.76953,169100,19885.76953
4/15/2015,19838.5293,19913.41992,19823.85938,19869.75977,118000,19869.75977
4/14/2015,19828.65039,19922.5,19828.65039,19908.67969,111500,19908.67969
4/13/2015,19967.38086,19975.66016,19825.68945,19905.46094,107000,19905.46094
4/10/2015,19989.55078,20006,19845.31055,19907.63086,132100,19907.63086
4/9/2015,19851.11914,19957.32031,19822.49023,19937.7207,120000,19937.7207
4/8/2015,19729.69922,19845.5293,19693.63086,19789.81055,136500,19789.81055
4/7/2015,19539.0293,19667.48047,19501.31055,19640.53906,132900,19640.53906
4/6/2015,19295.0293,19424.08984,19241.28906,19397.98047,93700,19397.98047
4/3/2015,19289.03906,19435.08008,19289.03906,19435.08008,101600,19435.08008
4/2/2015,19141.92969,19433.89063,19115.14063,19312.78906,0,19312.78906
4/1/2015,19129.75,19195.23047,18927.94922,19034.83984,155600,19034.83984
3/31/2015,19592.42969,19607.25,19206.99023,19206.99023,151600,19206.99023
3/30/2015,19295.21094,19474.07031,19227.28906,19411.40039,132200,19411.40039
3/27/2015,19374.7207,19590.0293,19099.86914,19285.63086,173000,19285.63086
3/26/2015,19605.59961,19623.10938,19397.00977,19471.11914,150200,19471.11914
3/25/2015,19745.75,19775.44922,19542.2207,19746.19922,140700,19746.19922
3/24/2015,19718.99023,19770.64063,19646.34961,19713.44922,137600,19713.44922
3/23/2015,19479.71094,19565.43945,19416.63086,19560.2207,133400,19560.2207
3/20/2015,19479.71094,19565.43945,19416.63086,19560.2207,133400,19560.2207
3/19/2015,19514.64063,19557.16992,19312.69922,19476.56055,146600,19476.56055
3/18/2015,19407.75977,19555.7207,19389.24023,19544.48047,130400,19544.48047
3/17/2015,19425.89063,19479.89063,19373.39063,19437,127800,19437
3/16/2015,19245.38086,19349.19922,19226.71094,19246.06055,125100,19246.06055
3/13/2015,19119.58008,19335.80078,19042.25,19254.25,221000,19254.25
3/12/2015,18787.09961,19008.13086,18774.41992,18991.10938,145200,18991.10938
3/11/2015,18604.86914,18836.92969,18583.51953,18723.51953,0,18723.51953
3/10/2015,18891.00977,18924.38086,18577.06055,18665.10938,143900,18665.10938
3/9/2015,18872.96094,18878.15039,18733.86914,18790.55078,118000,18790.55078
3/6/2015,18814.84961,18979.64063,18808.30078,18971,142700,18971
3/5/2015,18658.16016,18767.5,18655.35938,18751.83984,118200,18751.83984
3/4/2015,18716.7793,18732.66016,18586.83984,18703.59961,139000,18703.59961
3/3/2015,18910.51953,18910.51953,18730.57031,18815.16016,150200,18815.16016
3/2/2015,18869.40039,18939.16992,18775.23047,18826.88086,130800,18826.88086
2/27/2015,18844.2793,18865.39063,18714.64063,18797.93945,169500,18797.93945
2/26/2015,18587.86914,18790.83008,18587.13086,18785.78906,0,18785.78906
2/25/2015,18636.33984,18648.76953,18552.81055,18585.19922,134900,18585.19922
2/24/2015,18468.39063,18603.48047,18427.98047,18603.48047,140800,18603.48047
2/23/2015,18499.58008,18509.08008,18402.01953,18466.91992,152800,18466.91992
2/20/2015,18336.5,18360.91992,18297.66992,18332.30078,141900,18332.30078
2/19/2015,18237.34961,18322.5,18237.34961,18264.78906,168900,18264.78906
2/18/2015,18103.98047,18202.60938,18092.32031,18199.16992,0,18199.16992
2/17/2015,17949.69922,18009.44922,17901.25977,17987.08984,0,17987.08984
2/16/2015,18024.00977,18074.25977,17978.90039,18004.76953,148000,18004.76953
2/13/2015,17892.09961,17962.10938,17864.55078,17913.35938,0,17913.35938
2/12/2015,17979.7207,17979.7207,17979.7207,17979.7207,0,17979.7207
2/11/2015,17652.67969,17652.67969,17652.67969,17652.67969,0,17652.67969
2/10/2015,17662.66992,17673.26953,17550.0293,17652.67969,120200,17652.67969
2/9/2015,17790.31055,17799.49023,17653.60938,17711.92969,125600,17711.92969
2/6/2015,17696.17969,17700.66992,17603.07031,17648.5,138200,17648.5
2/5/2015,17589.21094,17619.33984,17484.66992,17504.61914,0,17504.61914
2/4/2015,17549.30078,17743.10938,17535.03906,17678.74023,181400,17678.74023
